,Industrials,Consumer Discretionary,Finance,Technology,Real Estate,Health Care,Miscellaneous,Telecommunications,Utilities,Consumer Staples,Energy,Basic Materials
0,11439.385545134544,19980031596.752636,18415.289523482323,8937.67556732893,6115.859532356262,224235.0866636634,352.4900064468384,701.9561793804169,2869.3232424259186,2820.532843351364,6836.451965332031,524.0552356243134
1,11136.408326983452,18900032713.30703,18072.705885767937,8828.505623221397,6123.280153274536,222652.49443614483,346.5000035762787,685.8638105392456,2814.5164651870728,2803.7174530029297,6485.240832090378,518.085987329483
2,10983.831767439842,18180031731.557503,17850.433458685875,8645.591234207153,6128.3465123176575,272101.5658210516,337.3600037097931,680.6344563961029,2782.329109430313,2798.7393218278885,6254.878708481789,518.5606195926666
3,11016.149114727974,18000031633.54549,17985.244844079018,8785.764697134495,6192.328052043915,279148.73772364855,337.1099991798401,684.8722772598267,2806.9370288848877,2833.000412106514,6239.334881782532,522.3308749198914
4,11207.71431195736,18900033788.143864,18195.77991616726,8908.260532975197,6224.066860198975,293626.92406353354,345.190003156662,693.3736214637756,2841.68554854393,2878.695337295532,6409.348188877106,532.6913876533508
5,11093.984227538109,22500032295.380947,18021.70832014084,8854.796382427216,6183.770213127136,302052.1344488561,342.2600040435791,691.763356924057,2811.749445438385,2858.0799506902695,6523.444679379463,534.3494050502777
6,10999.658383727074,26820032235.447124,17852.57049202919,8754.80525970459,6216.12936091423,298876.49843227863,339.7399959564209,693.6457967758179,2794.7034616470337,2846.2251620292664,6088.375930428505,533.2410774230957
7,10963.522439599037,23040032469.09933,17773.519774198532,8777.415518045425,6207.271547794342,285037.6580725908,338.1300036907196,699.1211215257645,2791.0002274513245,2854.940482378006,6072.459227800369,526.9151437282562
8,10882.10538470745,22680033228.52996,17615.377138018608,8683.48407882452,6239.524787902832,267802.5080630481,338.3399941921234,699.1822068691254,2797.890887737274,2853.549292564392,6182.70471906662,517.5784033536911
9,10779.096226334572,21240032797.96117,17520.645807027817,8543.161103606224,6254.343790531158,255576.1757028997,333.01000237464905,693.9052871465683,2781.167260169983,2852.458245277405,6015.109310865402,518.8413891792297
10,10926.241013884544,21960031471.465595,17734.2847135067,8696.668000459671,6296.506143569946,254668.052942127,336.66999888420105,697.1520843505859,2820.6858134269714,2893.895329475403,6402.5928909778595,530.281347155571
11,10916.192805409431,21600031909.84708,17653.274236679077,8697.829612612724,6242.01778793335,255438.02912852168,330.6699993610382,700.2790145874023,2817.6926839351654,2907.2852263450623,6067.151568651199,533.1926728487015
12,10974.374949932098,20520031349.06097,17661.810456871986,8733.522389411926,6256.001555919647,246090.15029546618,326.2100028991699,705.7306883335114,2841.4791283607483,2909.989279985428,6325.1509578228,538.1081649065018
13,11141.089139699936,19980031211.864296,17989.14985847473,8818.555301904678,6375.63722038269,237691.51536998153,331.1300091743469,711.1331851482391,2839.3460052013397,2956.6814255714417,6407.595243692398,543.8750656843185
14,11061.94135606289,19620031532.603752,17844.14141893387,8831.533660829067,6371.721623182297,231680.1032217443,333.40999603271484,707.1145393848419,2846.4420232772827,2937.6082005500793,6500.405086219311,530.3670929670334
15,11130.867468595505,19260031857.220486,17964.230466127396,8882.414345145226,6444.806367397308,239313.28998234868,338.4899990558624,706.4157528877258,2872.0980694293976,2944.2515028715134,6635.584402382374,538.1470388174057
16,11042.885016679764,18540030578.981926,17867.41744852066,8799.862151741982,6427.935257911682,249211.70074254274,334.61999917030334,699.8252975940704,2883.1299736499786,2916.158728122711,6871.959201097488,530.4398061037064
17,10893.217069268227,18720030943.409523,17613.898777723312,8736.598404705524,6376.759387254715,235126.95783266425,328.2399950027466,693.0879361629486,2830.4889402389526,2875.1135419607162,6462.603158175945,521.9912165403366
18,10960.978208065033,18000030192.33769,17738.775367975235,8785.575836479664,6404.14141869545,232508.02745994925,333.9400017261505,695.3878633975983,2859.7288179397583,2896.301957011223,6479.940496206284,523.3165885210037
19,10862.45564186573,18720030148.416298,17574.78196799755,8701.430594265461,6271.214766263962,225705.50541597605,325.44000720977783,683.8490849733353,2804.074149608612,2838.646439552307,6772.865874111652,524.9958349466324
20,11019.08032298088,18360030169.482594,17778.4518147707,8775.345100700855,6240.65078163147,222693.54844129086,326.6000089645386,688.9519656896591,2826.286752462387,2860.8814874887466,7113.312606215477,526.2983862161636
21,11270.978071689606,20160029320.01547,18051.843669056892,8870.573246479034,6325.007276058197,223444.72093367577,346.60000133514404,699.6157560348511,2860.952865123749,2878.635749578476,7473.994096517563,540.0151020288467
22,11162.84834742546,19260029902.284527,18009.540694355965,8890.296031534672,6299.262610197067,218070.42970269918,347.11000061035156,697.7660064697266,2826.21501994133,2875.5449504852295,7211.849076151848,536.5581498146057
